group,substance,disconnect,polished,potential,potential_file,day,max_abs_i,tail_mean,first_i,sigma_noise,saturation_frac,sign_flips,n_points
1,tap water,none,False,0,0.0,Y,4.73986e-07,-5.778501025e-08,4.73986e-07,4.530273486593661e-09,0.01,0.0,200
2,tap water,none,False,0.1,0.1,Y,7.58378e-07,-1.9845690275e-09,7.58378e-07,5.416776334930256e-09,0.005,0.3969849246231156,200
3,tap water,none,False,0.2,0.2,Y,1.611553e-06,2.636306025e-08,1.611553e-06,3.3485555406876243e-09,0.005,0.0,200
4,tap water,none,False,0.3,0.3,Y,1.327161e-06,5.631713375e-08,1.327161e-06,4.1365002964500556e-09,0.005,0.0,200
5,tap water,none,False,0.4,0.4,Y,1.042769e-06,8.53975275e-08,1.042769e-06,4.038269291108185e-09,0.005,0.0,200
6,Blank,none,False,0,0.0,Y,3.47593e-07,-4.31038975e-08,9.479726e-08,1.969746570189583e-09,0.005,0.010050251256281407,200
7,Blank,none,False,0.1,0.1,Y,1.611553e-06,8.0721459e-09,1.611553e-06,1.969736086624446e-09,0.005,0.0,200
8,Blank,none,False,0.2,0.2,Y,1.421959e-06,3.100155e-08,1.421959e-06,1.969736086624449e-09,0.005,0.0,200
9,Blank,none,False,0.3,0.3,Y,1.421959e-06,5.412353875000001e-08,1.421959e-06,1.969725603059315e-09,0.005,0.0,200
10,Blank,none,False,0.4,0.4,Y,1.042769e-06,7.373202050000001e-08,1.042769e-06,1.6743092210392183e-09,0.005,0.0,200
11,Sample,none,False,0,0.0,Y,7.42158e-07,-1.098370875e-07,3.79189e-07,2.7573873025630023e-09,0.005,0.0,200
12,Sample,none,False,0.1,0.1,Y,1.895945e-06,6.841478175e-09,1.895945e-06,3.151580883668658e-09,0.005,0.0,200
13,Sample,none,False,0.2,0.2,Y,3.223107e-06,4.45083125e-07,3.223107e-06,1.4771343279261675e-09,0.005,0.0,200
14,Sample,none,False,0.3,0.3,Y,3.79189e-06,5.89825125e-07,3.79189e-06,4.629542364884198e-09,0.005,0.0,200
15,Sample,none,False,0.4,0.4,Y,2.275134e-06,5.2516575e-07,2.275134e-06,1.8713163771101483e-09,0.005,0.0,200
16,Sample,none,False,0,0.0,Y,7.32763e-07,-1.1342809249999998e-07,1.89594e-07,2.7571776312602615e-09,0.005,0.010050251256281407,200
17,Sample,none,False,0.1,0.1,Y,1.70635e-06,2.3955739500000003e-09,1.70635e-06,2.9546020332236447e-09,0.005,0.05025125628140704,200
18,Sample,none,False,0.2,0.2,Y,3.223107e-06,4.37623975e-07,3.223107e-06,3.3494990615499102e-09,0.005,0.0,200
19,Sample,none,False,0.3,0.3,Y,3.697093e-06,5.83420475e-07,3.697093e-06,2.757177631260234e-09,0.005,0.0,200
20,Sample,none,False,0.4,0.4,Y,1.990742e-06,5.2046625e-07,1.990742e-06,2.6586321189642937e-09,0.005,0.0,200
21,Blank,none,False,0,0.0,Y,3.10015e-07,-4.2380528250000003e-08,9.479726e-08,2.6591143629606096e-09,0.005,0.005025125628140704,200
22,Blank,none,False,0.1,0.1,Y,1.327161e-06,7.759781800000001e-09,1.327161e-06,4.727363462829136e-09,0.005,0.0,200
23,Blank,none,False,0.2,0.2,Y,1.611553e-06,3.003392525e-08,1.611553e-06,3.1515903188773005e-09,0.005,0.0,200
24,Blank,none,False,0.3,0.3,Y,1.421959e-06,5.004636575000001e-08,1.421959e-06,6.893573092058919e-10,0.005,0.0,200
25,Blank,none,False,0.4,0.4,Y,1.327161e-06,6.7534058e-08,1.327161e-06,1.969683668798764e-09,0.005,0.0,200
26,Blank,none,True,0,0.0,Y,5.68783e-07,-1.2598373e-07,5.68783e-07,4.037325770245781e-09,0.015,0.005025125628140704,200
27,Blank,none,True,0.1,0.1,Y,1.70635e-06,-2.921660775e-09,1.70635e-06,3.2500729297824475e-09,0.005,0.1658291457286432,200
28,Blank,none,True,0.2,0.2,Y,1.801148e-06,2.5393087749999995e-08,1.801148e-06,4.13644787862437e-09,0.005,0.0,200
29,Blank,none,True,0.3,0.3,Y,1.895945e-06,4.8911991500000004e-08,1.895945e-06,3.939461689683764e-09,0.005,0.0,200
30,Blank,none,True,0.4,0.4,Y,1.801148e-06,7.909153000000002e-08,1.801148e-06,4.136468845754652e-09,0.005,0.0,200
31,Blank,none,True,0,0.0,Y,2.53649e-07,-1.2417296249999998e-07,9.479726e-08,4.530682345634036e-09,0.005,0.005025125628140704,200
32,Blank,none,True,0.1,0.1,Y,1.516756e-06,-2.0832100475e-09,1.516756e-06,4.2349430698077e-09,0.005,0.22613065326633167,200
33,Blank,none,True,0.2,0.2,Y,1.801148e-06,2.4641533500000002e-08,1.801148e-06,4.333413100434701e-09,0.005,0.0,200
34,Blank,none,True,0.3,0.3,Y,1.70635e-06,4.49358075e-08,1.70635e-06,3.742485984308271e-09,0.005,0.0,200
35,Blank,none,True,0.4,0.4,Y,1.611553e-06,7.0688232e-08,1.611553e-06,3.643835636360899e-09,0.005,0.0,200
36,Blank,working,True,0,0.0,Y,7.58378e-07,1.737963675e-10,7.58378e-07,7.87894434649779e-10,0.005,0.9547738693467337,200
37,Blank,working,True,0.1,0.1,Y,6.6358e-07,1.7379635999999998e-10,4.73986e-07,4.92434021656112e-10,0.005,0.6884422110552764,200
38,Blank,working,True,0.2,0.2,Y,5.68783e-07,1.52659e-10,4.73986e-07,4.924341264917633e-10,0.005,0.9597989949748744,200
39,Blank,working,True,0.3,0.3,Y,5.68783e-07,1.432646025e-10,5.68783e-07,1.9697350382679342e-10,0.015,0.4723618090452261,200
40,Blank,working,True,0.4,0.4,Y,8.53175e-07,1.5265895249999998e-10,6.6358e-07,3.939472173248895e-10,0.005,0.9547738693467337,200
41,Blank,counter,True,0,0.0,Y,9.47972e-07,2.2781447500000004e-10,8.53175e-07,2.462171156637074e-09,0.01,0.8844221105527639,200
42,Blank,counter,True,0.1,0.1,Y,1.042769e-06,1.7849377500000004e-10,1.042769e-06,1.5757888692995583e-09,0.005,0.8241206030150754,200
43,Blank,counter,True,0.2,0.2,Y,8.53175e-07,1.3387032499999997e-10,6.6358e-07,4.33342358399984e-09,0.005,0.9547738693467337,200
44,Blank,counter,True,0.3,0.3,Y,8.53175e-07,2.4425439749999995e-10,6.6358e-07,3.742501709655993e-09,0.005,0.8793969849246231,200
45,Blank,counter,True,0.4,0.4,Y,8.53175e-07,1.5970504999999993e-10,7.58378e-07,3.1515798353121442e-09,0.01,0.8894472361809045,200
46,Blank,reference,True,0,0.0,Y,0.000600825,0.000311801995,9.508166e-05,4.869605522976288e-05,0.005,0.010050251256281407,200
47,Blank,reference,True,0.1,0.1,Y,0.000621206,0.00037798232499999996,0.000550203,4.303188982142219e-05,0.03,0.0,200
48,Blank,reference,True,0.2,0.2,Y,0.000615044,0.00040338567500000004,0.000615044,3.3293706164853116e-05,0.005,0.0,200
49,Blank,reference,True,0.3,0.3,Y,0.000632487,0.0004634681749999999,0.000616087,2.703292106451607e-05,0.01,0.0,200
50,Blank,reference,True,0.4,0.4,Y,0.000638459,0.00047240514999999996,0.000638459,3.070845900185404e-05,0.005,0.0,200
51,Sample,none,True,0,0.0,Y,7.13975e-07,-1.4288379999999999e-07,3.79189e-07,1.2800433033341494e-09,0.005,0.0,200
52,Sample,none,True,0.1,0.1,Y,1.70635e-06,-7.945321325000001e-09,1.70635e-06,5.022833311031426e-09,0.005,0.11557788944723618,200
53,Sample,none,True,0.2,0.2,Y,2.938715e-06,4.20883125e-07,2.938715e-06,1.181497791038182e-09,0.005,0.0,200
54,Sample,none,True,0.3,0.3,Y,3.79189e-06,5.72351525e-07,3.79189e-06,8.075490225702638e-09,0.005,0.0,200
55,Sample,none,True,0.4,0.4,Y,2.275134e-06,5.1498455e-07,2.275134e-06,7.386719996144432e-09,0.005,0.0,200
56,Sample,none,True,0,0.0,Y,7.13975e-07,-1.352040975e-07,6.6358e-07,5.022676057554335e-09,0.005,0.0,200
57,Sample,none,True,0.1,0.1,Y,1.895945e-06,-4.3965831749999995e-09,1.895945e-06,5.121326405501731e-09,0.005,0.20603015075376885,200
58,Sample,none,True,0.2,0.2,Y,3.033512e-06,4.2251307500000003e-07,3.033512e-06,4.532045209101964e-09,0.005,0.0,200
59,Sample,none,True,0.3,0.3,Y,4.076282e-06,5.715577e-07,4.076282e-06,4.924130545258312e-09,0.005,0.0,200
60,Sample,none,True,0.4,0.4,Y,2.180337e-06,5.117787249999999e-07,2.180337e-06,4.432451340292208e-09,0.005,0.0,200
61,Sample,working,True,0,0.0,Y,5.68783e-07,1.4326465000000001e-10,5.68783e-07,9.8486699495571e-11,0.015,0.18090452261306533,200
62,Sample,working,True,0.1,0.1,Y,8.53175e-07,1.1977862749999999e-10,7.58378e-07,1.9697360866244476e-10,0.005,0.7638190954773869,200
63,Sample,working,True,0.2,0.2,Y,5.68783e-07,1.362187525e-10,5.68783e-07,4.924341264917633e-10,0.005,0.9547738693467337,200
64,Sample,working,True,0.3,0.3,Y,7.58378e-07,1.244757575e-10,7.58378e-07,1.9697350382679342e-10,0.01,0.40703517587939697,200
65,Sample,working,True,0.4,0.4,Y,5.68783e-07,1.338702575e-10,5.68783e-07,2.954604129936672e-10,0.005,0.5829145728643216,200
66,Sample,counter,True,0,0.0,Y,5.68783e-07,4.227479999999998e-11,4.73986e-07,2.166710743643406e-09,0.005,0.8994974874371859,200
67,Sample,counter,True,0.1,0.1,Y,5.68783e-07,8.454987500000005e-11,3.79189e-07,3.250066534807715e-09,0.005,0.9195979899497487,200
68,Sample,counter,True,0.2,0.2,Y,6.6358e-07,8.924702499999996e-11,6.6358e-07,3.742500661299479e-09,0.01,0.914572864321608,200
69,Sample,counter,True,0.3,0.3,Y,6.6358e-07,1.667507225e-10,6.6358e-07,3.3485534439745888e-09,0.005,0.9095477386934674,200
70,Sample,counter,True,0.4,0.4,Y,5.68783e-07,1.9258537499999998e-10,5.68783e-07,3.2500666396433665e-09,0.01,0.914572864321608,200
71,Sample,reference,True,0,0.0,Y,0.000682256,0.000650759175,0.000669932,4.86856765002769e-06,0.08,0.0,200
72,Sample,reference,True,0.1,0.1,Y,0.000681971,0.0006604357,0.000681971,3.983754752391476e-07,0.01,0.0,200
73,Sample,reference,True,0.2,0.2,Y,0.000681308,0.000677710075,0.00066832,2.9773324991558543e-07,0.23,0.0,200
74,Sample,reference,True,0.3,0.3,Y,0.000693157,0.000614127075,0.000693157,2.9773324991558543e-07,0.015,0.0,200
75,Sample,reference,True,0.4,0.4,Y,0.000626704,0.0006073585000000001,0.000626704,2.002360941334343e-07,0.005,0.0,200
76,Blank,none,True,0.4,0.4,T,5.213849e-06,1.041464215e-07,5.213849e-06,1.812084234081131e-08,0.005,0.0,200
77,Blank,none,True,0.4,0.4,T,5.68783e-07,5.1751450500000004e-08,5.68783e-07,2.284897215225204e-08,0.01,0.0,200
78,Blank,none,True,0.4,0.4,T,4.73986e-07,3.3087109249999996e-08,3.79189e-07,2.885666302303054e-08,0.005,0.0,200
79,Blank,none,True,0.4,0.4,T,4.73986e-07,2.389467995e-08,4.73986e-07,2.7379360958062213e-08,0.015,0.0,200
80,Blank,none,True,0.4,0.4,T,6.6358e-07,1.8098329075e-08,4.73986e-07,2.7182378962547654e-08,0.01,0.0,200
81,Blank,none,True,0.4,0.4,T,5.593038e-06,9.835711124999999e-08,5.593038e-06,2.472024659510158e-08,0.005,0.0,200
82,Blank,none,True,0.4,0.4,T,4.73986e-07,5.025304299999999e-08,4.73986e-07,2.550809699877779e-08,0.005,0.0,200
83,Blank,none,True,0.4,0.4,T,5.68783e-07,3.32843915e-08,4.73986e-07,2.580356579862357e-08,0.005,0.0,200
84,Blank,none,True,0.4,0.4,T,5.68783e-07,2.4575774000000002e-08,3.79189e-07,2.4523239439030707e-08,0.005,0.0,200
85,Blank,none,True,0.4,0.4,T,2.84391e-07,1.9507490825e-08,1.89594e-07,2.5114165506800613e-08,0.005,0.0,200
86,Blank,none,True,0.4,0.4,T,5.308646e-06,9.69503045e-08,5.308646e-06,2.5804247230357545e-08,0.005,0.0,200
87,Blank,none,True,0.4,0.4,T,3.79189e-07,5.03281985e-08,3.79189e-07,2.68869269364061e-08,0.005,0.0,200
88,Blank,none,True,0.4,0.4,T,5.68783e-07,3.38386615e-08,4.73986e-07,2.4523239439030707e-08,0.005,0.0,200
89,Blank,none,True,0.4,0.4,T,3.79189e-07,2.51488327e-08,3.79189e-07,2.44247463445604e-08,0.015,0.0,200
90,Blank,none,True,0.4,0.4,T,3.79189e-07,2.020737475e-08,3.79189e-07,2.8265742197043217e-08,0.005,0.0,200
91,Blank,none,True,0.4,0.4,T,5.87743e-06,9.633966499999999e-08,5.87743e-06,3.0726910076496616e-08,0.005,0.0,200
92,Blank,none,True,0.4,0.4,T,3.79189e-07,5.004401749999999e-08,3.79189e-07,3.151580883668658e-08,0.005,0.0,200
93,Blank,none,True,0.4,0.4,T,5.68783e-07,3.3526297000000004e-08,3.79189e-07,2.245501025793595e-08,0.01,0.0,200
94,Blank,none,True,0.4,0.4,T,3.79189e-07,2.5409527349999998e-08,2.84391e-07,2.9349086561121517e-08,0.005,0.0,200
95,Blank,none,True,0.4,0.4,T,5.68783e-07,2.027783195e-08,5.68783e-07,3.0432453989043136e-08,0.01,0.0,200
96,Sample,none,True,0.4,0.4,T,3.697093e-06,1.9365817500000003e-07,3.697093e-06,4.431402983778391e-09,0.005,0.0,200
97,Sample,none,True,0.4,0.4,T,5.68783e-07,1.2833233249999998e-07,5.68783e-07,3.840129910002421e-09,0.005,0.0,200
98,Sample,none,True,0.4,0.4,T,6.6358e-07,1.033948675e-07,6.6358e-07,3.5455417296282235e-09,0.005,0.0,200
99,Sample,none,True,0.4,0.4,T,4.73986e-07,9.00054855e-08,3.79189e-07,3.4470381515927792e-09,0.005,0.0,200
100,Sample,none,True,0.4,0.4,T,2.84391e-07,8.1487104e-08,2.84391e-07,3.151579835312145e-09,0.01,0.0,200
101,Sample,none,True,0.4,0.4,T,3.886687e-06,1.8955050000000001e-07,3.886687e-06,2.067359045188295e-09,0.005,0.0,200
102,Sample,none,True,0.4,0.4,T,4.73986e-07,1.257606125e-07,3.79189e-07,5.51561329033708e-09,0.005,0.0,200
103,Sample,none,True,0.4,0.4,T,3.79189e-07,1.014243875e-07,3.79189e-07,3.939409271858064e-09,0.01,0.0,200
104,Sample,none,True,0.4,0.4,T,1.89594e-07,8.83966945e-08,9.479726e-08,2.363739915201092e-09,0.01,0.0,200
105,Sample,none,True,0.4,0.4,T,2.84391e-07,7.998165025000001e-08,1.89594e-07,1.6742777703438016e-09,0.01,0.0,200
106,Sample,none,True,0.4,0.4,T,3.981484e-06,1.8777025e-07,3.981484e-06,5.218718725632538e-09,0.005,0.0,200
107,Sample,none,True,0.4,0.4,T,6.6358e-07,1.2478123749999997e-07,6.6358e-07,3.0530238394510164e-09,0.005,0.0,200
108,Sample,none,True,0.4,0.4,T,5.68783e-07,1.007174565e-07,4.73986e-07,2.8561424861617804e-09,0.005,0.0,200
109,Sample,none,True,0.4,0.4,T,5.68783e-07,8.780719375e-08,5.68783e-07,4.431927162035286e-09,0.01,0.0,200
110,Sample,none,True,0.4,0.4,T,4.73986e-07,7.954481025e-08,3.79189e-07,2.9546041299366736e-09,0.01,0.0,200
111,Sample,none,True,0.4,0.4,T,3.886687e-06,1.863141e-07,3.886687e-06,3.545541729628251e-09,0.005,0.0,200
112,Sample,none,True,0.4,0.4,T,4.73986e-07,1.239287025e-07,4.73986e-07,3.0527093324968765e-09,0.01,0.0,200
113,Sample,none,True,0.4,0.4,T,5.68783e-07,1.00045757e-07,5.68783e-07,3.0531286751023725e-09,0.01,0.0,200
114,Sample,none,True,0.4,0.4,T,5.68783e-07,8.727406075000001e-08,5.68783e-07,2.6591458136560403e-09,0.01,0.0,200
115,Sample,none,True,0.4,0.4,T,3.79189e-07,7.90140255e-08,3.79189e-07,2.757628424561188e-09,0.01,0.0,200
