dataset,group,beta_l,beta_rng,beta_spread_max,A,M,exc_l,snr,t_max,potential_file,物质,CA potential,打磨情况,断电极？,Yesterday/Today
ca115,6,0.29998741796543704,0.2581142073862064,0.49997676783202644,-4.129079528844388e-07,-1.7421360753440872e-09,0.018562137122272074,215.55582352482352,3.0,0.0,Blank,0.0,未,X,Y
ca115,7,0.7999435178244405,0.41408540976941943,0.6132858660577983,9.679922727800444e-08,1.1560573972292947e-09,0.37320389894336475,74.49799018658459,3.0,0.1,Blank,0.1,未,X,Y
ca115,8,0.5000246447998792,0.2995486104223478,0.4999834769937488,1.1315018305568659e-07,-7.214695103000306e-09,0.33416794809977435,133.31375150514427,3.0,0.2,Blank,0.2,未,X,Y
ca115,9,0.3999705654118249,0.20103350182360946,0.49997923802173627,2.114743054518615e-07,-4.0640769318830304e-11,0.19633208349836964,121.55303660986833,3.0,0.3,Blank,0.3,未,X,Y
ca115,10,0.40000683373917245,0.20052221325157948,0.49998508443453477,1.950653732786201e-07,-5.191560318569912e-09,0.16716869191261685,133.431041967438,3.0,0.4,Blank,0.4,未,X,Y
ca115,11,0.29995782234007273,0.2105973817888038,0.4999732750111689,-2.146619103268513e-06,7.690902898532239e-09,0.24545120419420208,2107.8888167329274,3.0,0.0,Sample,0.0,未,X,Y
ca115,12,0.7999793230954152,0.003983949144781951,0.5028742644050554,1.3215525975476882e-07,-5.550465389770919e-10,0.03781520308311985,155.82868272272557,3.0,0.1,Sample,0.1,未,X,Y
ca115,13,0.299997495433287,0.14094101392838043,0.49998462601211524,2.4653018590172392e-06,1.869836512842675e-08,0.0960218136913364,2796.265065031819,3.0,0.2,Sample,0.2,未,X,Y
ca115,14,0.45037601755356116,0.4999906767079936,0.4999961382270097,1.0407879212206256e-06,5.338431140061655e-09,0.2570330082807232,422.6615497476116,3.0,0.3,Sample,0.3,未,X,Y
ca115,15,0.3000003880751666,0.20069021701642542,0.49999404677053444,2.382480749703113e-07,-1.4501353240458375e-08,0.26351512025961943,114.10433242057553,3.0,0.4,Sample,0.4,未,X,Y
ca115,16,0.29995665456328424,0.212282219385718,0.49997241945637055,-2.1208413979569615e-06,9.143599806539171e-09,0.7420934669009929,847.3904922332794,3.0,0.0,Sample,0.0,未,X,Y
ca115,17,0.7999797040551214,0.005394288269294889,0.5042190178185499,1.321294777422891e-07,3.340379276880069e-10,0.333541338879153,77.90780815462183,3.0,0.1,Sample,0.1,未,X,Y
ca115,18,0.2999973880446347,0.12608744855830326,0.4999839822322942,2.2265790895767166e-06,1.567714746046804e-08,0.13097013371371732,1159.1579179657722,3.0,0.2,Sample,0.2,未,X,Y
ca115,19,0.4999882686285815,0.4999788762932189,0.4999930102975,1.0379882850061507e-06,5.503436456003877e-09,0.029029369996158738,463.99006768400966,3.0,0.3,Sample,0.3,未,X,Y
ca115,20,0.30000116780708574,0.20967427136304856,0.4999946905060251,2.345471129564528e-07,-1.5183521501451656e-08,0.03756024246618869,147.39868931983588,3.0,0.4,Sample,0.4,未,X,Y
ca115,21,0.29998812415705933,0.23804816478650387,0.4999771868496508,-3.293612580117312e-07,2.096136868063128e-10,0.6003402338456847,572.8616146853838,3.0,0.0,Blank,0.0,未,X,Y
ca115,22,0.7999032614857701,0.31216770202372746,0.5113687348055327,9.176502458133905e-08,3.0911670939343173e-09,0.5080464364221605,325.3467281905641,3.0,0.1,Blank,0.1,未,X,Y
ca115,23,0.5000373527388398,0.3020208654093768,0.5014886878456459,1.0497240604771035e-07,-4.742768835404214e-09,0.03231390589243005,463.9670275078963,3.0,0.2,Blank,0.2,未,X,Y
ca115,24,0.49999603923700364,0.4998927830228232,0.49998140696355725,1.008164713344006e-07,-1.0172348792086435e-08,0.3760774460857849,178.2154971911626,3.0,0.3,Blank,0.3,未,X,Y
ca115,25,0.5000009865811974,0.3000542903833244,0.49999103818020624,1.8123243245385274e-07,-1.966719474259071e-09,1.264896676223648,96.49300368121357,3.0,0.4,Blank,0.4,未,X,Y
ca115,26,0.4999937470991873,0.5023780628332803,0.5000011067159302,-9.802817295857408e-08,6.475212634450847e-09,0.33843203698265883,25.488075673932947,3.0,0.0,Blank,0.0,有,X,Y
ca115,27,0.7999802353713232,0.49810639931094797,0.6968131597263851,6.191703080201965e-08,4.343858823531307e-09,1.7246195098356443,45.87965889121181,3.0,0.1,Blank,0.1,有,X,Y
ca115,28,0.8000266827327408,0.2572669657284711,0.7564240792917658,8.082190746739494e-08,8.341414885727147e-10,0.8564543566484216,65.07882756158799,3.0,0.2,Blank,0.2,有,X,Y
ca115,29,0.4999982115551088,0.5020629673626016,0.501540489060698,9.171123156720052e-08,-6.524046020216877e-09,0.04701938488523259,64.86446525807014,3.0,0.3,Blank,0.3,有,X,Y
ca115,30,0.500000898960757,0.2996929675339777,0.4999915362550954,9.069623008417654e-08,-1.5129054009045716e-08,0.03270946867748642,57.24770418431378,3.0,0.4,Blank,0.4,有,X,Y
ca115,31,0.40000105287087195,0.501827180670646,0.4999982811354013,-1.312956660345388e-07,2.8619212043027627e-09,0.18910788712722695,34.14932345345871,3.0,0.0,Blank,0.0,有,X,Y
ca115,32,0.6499801538872423,0.5205514906523245,0.5193576416568603,6.687124223929853e-08,4.268423890218149e-09,0.5083002681180508,27.634783616104542,3.0,0.1,Blank,0.1,有,X,Y
ca115,33,0.8000244431713317,0.1837216607644384,0.6828964825547783,9.092332616579646e-08,1.2576455881036042e-09,0.6255185438566633,33.54288005647114,3.0,0.2,Blank,0.2,有,X,Y
ca115,34,0.5000307891775448,0.3018193486542587,0.5013059220103933,1.013799486184513e-07,-6.173190344288545e-09,0.01836460553502661,41.68816539525063,3.0,0.3,Blank,0.3,有,X,Y
ca115,35,0.3000064058519023,0.20128903268004988,0.4999825452855399,1.9019979743285462e-07,-2.8907687951948333e-09,0.3155384818203096,60.74669727474502,3.0,0.4,Blank,0.4,有,X,Y
ca115,51,0.2999586043859529,0.17581134891110767,0.49997723941554306,-1.2919189062278214e-06,1.6539594236411734e-08,0.2123730940444998,1788.4229028330763,3.0,0.0,Sample,0.0,有,X,Y
ca115,52,0.5000087936265798,0.4992424859571139,0.4999424922376801,1.2779481106220426e-07,-3.8761303033246155e-09,0.4628464559239956,62.7208142189063,3.0,0.1,Sample,0.1,有,X,Y
ca115,53,0.29999493276552114,0.07924558171772669,0.4999820299539456,1.6566903115584154e-06,2.4915308924956693e-09,0.20516671469759368,3926.5646898587256,3.0,0.2,Sample,0.2,有,X,Y
ca115,54,0.49999461625428443,0.37841873975177615,0.499993851327576,9.835061584298132e-07,6.4280491216262745e-09,0.10943796098460896,584.4359443686158,3.0,0.3,Sample,0.3,有,X,Y
ca115,55,0.29999868918175127,0.212143624987788,0.49999154076726565,2.3388249037684896e-07,-1.493389176733789e-08,0.014415627325059537,199.10482429339658,3.0,0.4,Sample,0.4,有,X,Y
ca115,56,0.29995299192630215,0.20259466349880284,0.4999702222909024,-1.7289690240528612e-06,1.1805231659660165e-08,0.8826215382939032,383.31675365826,3.0,0.0,Sample,0.0,有,X,Y
ca115,57,0.5000254348376527,0.501455533412607,0.5008129040586964,1.3073085634594185e-07,-2.3574092270834986e-09,0.026853045115973428,42.80686813461891,3.0,0.1,Sample,0.1,有,X,Y
ca115,58,0.29999750978021034,0.11073428061204421,0.4999837154138187,2.040652727187684e-06,1.3628734427576179e-08,0.03938862083289769,621.8540728327768,3.0,0.2,Sample,0.2,有,X,Y
ca115,59,0.5000027977573518,0.3970033226561186,0.4999963546932275,1.0453418911298444e-06,1.0325387310113597e-08,0.4115797832481881,394.17386264912227,3.0,0.3,Sample,0.3,有,X,Y
ca115,60,0.3000002893040926,0.2490432900114869,0.49999181289057876,2.263612955588603e-07,-1.5859895924814018e-08,0.1468989228190838,134.48948633957934,3.0,0.4,Sample,0.4,有,X,Y
ca115,76,0.7999043547175027,0.1605126614014737,0.4999922212781886,6.17642521867844e-07,6.409840290007883e-09,0.5293698372740503,65.56904941661712,3.0,0.4,Blank,0.4,有,X,T
ca115,77,0.7996590880679051,0.5471488743902697,0.5472673450649574,6.413776607827291e-09,-3.937623715979898e-09,0.044894527836866205,0.4706446267555631,3.0,0.4,Blank,0.4,有,X,T
ca115,78,0.3000250238923886,0.5031904478318678,0.5015028578925043,5.282983048815514e-09,-4.722093182017485e-10,0.35465151754776714,0.645537575685111,3.0,0.4,Blank,0.4,有,X,T
ca115,79,0.7982995809061982,0.502811225446461,0.49972000426792207,5.891713873199157e-09,1.5678954268180542e-09,0.04442827750679941,0.4966808176816223,3.0,0.4,Blank,0.4,有,X,T
ca115,80,0.803520820873822,0.638929780692812,1.138103474465595,9.499557243168942e-09,2.9063575091761837e-09,0.4659240255735611,0.7290669563090714,3.0,0.4,Blank,0.4,有,X,T
ca115,81,0.500026802246946,0.4455315267711724,0.4999671064298195,7.155847974622083e-07,2.3387858571733182e-08,0.03317370692093838,51.37203425383751,3.0,0.4,Blank,0.4,有,X,T
ca115,82,0.8007457118204947,0.05279886922796351,0.5526525644624217,8.235472258935675e-09,-2.8112357621625785e-09,0.2386776119677983,0.5816238133608429,3.0,0.4,Blank,0.4,有,X,T
ca115,83,0.800726309167795,0.08328073010292747,0.5830430526422237,8.614661611757617e-09,1.5856479050674345e-09,0.5120673654642177,1.107854435306336,3.0,0.4,Blank,0.4,有,X,T
ca115,84,0.7994646008631023,0.3064771332277363,0.4999145372301515,6.782922401255174e-09,1.6637564059037578e-09,0.306594514129505,0.8365591482623178,3.0,0.4,Blank,0.4,有,X,T
ca115,85,0.8021593238578424,0.09332528538736018,0.5927412571568013,8.79330942992488e-09,2.993024772474333e-09,0.21904763345982398,0.794229831778377,3.0,0.4,Blank,0.4,有,X,T
ca115,86,0.8000164726792348,0.05307918289315239,0.5000056458268978,5.39675612476721e-07,3.8799482621611753e-10,0.03656786780921496,46.92033329426247,3.0,0.4,Blank,0.4,有,X,T
ca115,87,0.8007317471054537,0.07794729803170775,0.5777509380865309,8.320647837843039e-09,-2.4642708008907263e-09,0.07735295140584132,1.0309120737722581,3.0,0.4,Blank,0.4,有,X,T
ca115,88,0.8009701569165028,0.08648984065358756,0.586219717688772,9.132256599899121e-09,1.7299140664738473e-09,0.18322799345487695,0.6780276614777646,3.0,0.4,Blank,0.4,有,X,T
ca115,89,0.8022467617780666,0.09338889502126413,0.5928078261124219,9.223152394290996e-09,2.594373607289023e-09,0.18319892240656016,0.5673736561728112,3.0,0.4,Blank,0.4,有,X,T
ca115,90,0.7976400217978611,0.5031034562757574,0.4997504477838297,4.0287972000040605e-09,1.3837280831869696e-09,0.07416095510485213,0.39816422308523036,3.0,0.4,Blank,0.4,有,X,T
ca115,91,0.8000703080950068,0.002295826125790601,0.5000184032393542,4.95657943873656e-07,-7.332970525607185e-09,0.3733960103581881,28.081374709088927,3.0,0.4,Blank,0.4,有,X,T
ca115,92,0.8012702560916751,0.07164062447536146,0.5713477202721904,1.024462272318232e-08,-1.7285732408348444e-09,0.13475604943560496,0.6117269001597008,3.0,0.4,Blank,0.4,有,X,T
ca115,93,0.799768729119616,0.5090543288768385,0.5094010494196783,5.060909605906777e-09,-2.806934829500466e-10,0.1846386339573353,0.3970489214372537,3.0,0.4,Blank,0.4,有,X,T
ca115,94,0.7967625647969375,0.5459593593472835,0.5455886435569137,8.124514640968887e-09,1.4167010180751572e-09,0.07291851982057675,0.39538768771909044,3.0,0.4,Blank,0.4,有,X,T
ca115,95,0.8036173088880698,0.07961096121624855,0.5788004385337222,9.136170563672724e-09,2.641196334754296e-09,0.43462536636936006,0.7857077921495946,3.0,0.4,Blank,0.4,有,X,T
ca115,96,0.5000333588506347,0.030581030741210102,0.4999834096204588,1.17124093720535e-06,3.917556624095557e-08,0.31603732827401765,495.2200492766755,3.0,0.4,Sample,0.4,有,X,T
ca115,97,0.29999225902108806,0.5010619534034363,0.5003235054856019,1.0303560364219128e-08,-4.240211782310685e-09,0.19500113255168738,4.796867514336011,3.0,0.4,Sample,0.4,有,X,T
ca115,98,0.2999918829257383,0.5015417879988855,0.5009433878466552,8.778757790420713e-09,2.072118935997557e-10,0.3232163150794873,5.178487274953651,3.0,0.4,Sample,0.4,有,X,T
ca115,99,0.29999267891292647,0.501283758574695,0.5004098562571897,5.60370177195987e-09,4.1938050247635294e-10,0.18722375698623134,3.54109181498605,3.0,0.4,Sample,0.4,有,X,T
ca115,100,0.2999924824265756,0.5018786688063375,0.499987717169003,5.4089499957582604e-09,1.0981601246639623e-09,0.3450548282050997,4.352088012008193,3.0,0.4,Sample,0.4,有,X,T
ca115,101,0.5136969186354554,0.29997635114523835,0.4999869462884428,1.1109005915664678e-06,3.469105263336761e-08,0.03228607233911904,855.5844072323765,3.0,0.4,Sample,0.4,有,X,T
ca115,102,0.29999379574121243,0.5006113293690454,0.5001574329403407,7.597643894387424e-09,-5.076274113511335e-09,0.08230558172442964,13.430388748160997,3.0,0.4,Sample,0.4,有,X,T
ca115,103,0.8000522813006086,0.30166115695564755,0.5024931624371454,8.243252815822858e-09,6.690754362463382e-11,1.0073995266980493,48.62400629718803,3.0,0.4,Sample,0.4,有,X,T
ca115,104,0.8000362260447436,0.3013962471988817,0.5019349272992586,5.128356605247987e-09,3.184944439368451e-10,1.1122361406339292,6.981315520489163,3.0,0.4,Sample,0.4,有,X,T
ca115,105,0.8000199252920961,0.30198022020028115,0.5015155434600818,5.8009757927729915e-09,1.174752048447991e-09,4.0211081120042484,5.135018222158127,3.0,0.4,Sample,0.4,有,X,T
ca115,106,0.5000959836800041,0.30002421386390443,0.4999868933084798,1.200334636670802e-06,4.460042321216197e-08,0.03931245244390751,1148.365268418186,3.0,0.4,Sample,0.4,有,X,T
ca115,107,0.2999956087198216,0.5007967110116414,0.5003589216449664,8.52856119093448e-09,-4.640979329494564e-09,0.2533889749587729,6.285472976107345,3.0,0.4,Sample,0.4,有,X,T
ca115,108,0.2999994028438798,0.501046000951787,0.5007069402686645,6.136754695026246e-09,-7.780613272845989e-10,1.0142932358473056,5.42797603092063,3.0,0.4,Sample,0.4,有,X,T
ca115,109,0.8000460251432586,0.3014787884166128,0.5024818912988069,6.318053829206382e-09,7.065591436104684e-10,1.2915716791985814,22.36308138383422,3.0,0.4,Sample,0.4,有,X,T
ca115,110,0.2999952273068728,0.5023623202083937,0.5013186744810401,8.142962985825122e-09,2.074256305503335e-09,0.6776267381430244,4.806362329642937,3.0,0.4,Sample,0.4,有,X,T
ca115,111,0.5000862208400954,0.29997367976000044,0.49998531830709786,1.205040237635196e-06,4.6087938701640836e-08,0.17384471956427042,540.620680383332,3.0,0.4,Sample,0.4,有,X,T
ca115,112,0.8000389791501653,0.00092294331097309,0.5006085116923571,8.45688549194853e-09,-4.576836966473549e-09,0.796975496486424,5.342977315163479,3.0,0.4,Sample,0.4,有,X,T
ca115,113,0.29999457624766773,0.5011685322705022,0.5003517403965443,6.177224898871001e-09,-6.371407007067675e-10,0.2883256362831354,3.7686484316652598,3.0,0.4,Sample,0.4,有,X,T
ca115,114,0.8000116002357476,0.5018317584864358,0.5012686491458902,7.324304766770915e-09,1.088952730331357e-09,0.8915031196878871,4.630269484690869,3.0,0.4,Sample,0.4,有,X,T
ca115,115,0.5500006836231089,0.5012093038695324,0.5008314792312434,4.328996480217584e-09,5.299067145632398e-10,0.07831513380709007,2.552415134269146,3.0,0.4,Sample,0.4,有,X,T
test_iso,1,0.5000149061488957,0.07964326943519762,0.49998509928981005,1.72405204759592e-06,1.2788645004942102e-08,0.1344088712127788,809.1762328440101,3.0,0.4,,,,,
test_iso,2,0.5000313260475,0.11382618345648804,0.4999842118202013,1.526322876510899e-06,-6.050482698376022e-09,0.19091458335895314,593.0294295133355,3.0,0.4,,,,,
test_iso,3,0.5000291260240646,0.10529591955946793,0.4999864254667423,1.533957234160524e-06,-2.2085730345712656e-09,0.12064974376299425,623.5175937166389,3.0,0.4,,,,,
test_iso,4,0.7999310646610698,0.11866354094726683,0.4999904860432153,1.4814580866746805e-06,-1.0815263156548102e-08,0.95746387737309,670.0513366714893,3.0,0.4,,,,,
test_iso,5,0.7997703693780915,0.29993454978972167,0.49999048339797325,6.309537465052736e-07,1.709988844474264e-08,0.1108138065563898,289.55308445738746,3.0,0.4,,,,,
test_iso,6,0.5000387337206893,0.11990228345291076,0.4999839673400772,1.5161101975391602e-06,-4.424368325448779e-09,1.4277188773707663,708.8620952828586,3.0,0.4,,,,,
test_iso,7,0.50002305163908,0.3131999845189087,0.499979803415637,1.4674318338481225e-06,-1.1058819520272707e-08,0.22473047742791807,555.9902198524499,3.0,0.4,,,,,
test_iso,8,0.5000239394013699,0.3132230169577923,0.49997899911112,1.4749292487051976e-06,-9.14867202942804e-09,0.11062359755991152,532.2250785797431,3.0,0.4,,,,,
test_iso,9,0.5000358202622457,0.12220843677777649,0.49998641605883776,1.4830616060761302e-06,-5.112311704810226e-09,0.8089178891846163,547.1174420475858,3.0,0.4,,,,,
test_iso,10,0.5000270539545635,0.09931529619895918,0.49998288309218547,1.5092130460258423e-06,-5.163971120487668e-09,0.827692933276588,627.2610293319487,3.0,0.4,,,,,
test_iso,11,0.5000164688818141,0.3050838283892564,0.49998067004234903,1.470982734313424e-06,-5.858456890825467e-09,0.26006757226670907,554.0653329832581,3.0,0.4,,,,,
test_iso,12,0.5000300087721953,0.31674660286149803,0.49997923352238094,1.3761441973054318e-06,-9.454375821634397e-09,0.37286531676344536,563.8272168769864,3.0,0.4,,,,,
test_iso,13,0.5000248535546067,0.3100360780043715,0.49998139215184456,1.4206043594885358e-06,-7.482701964338193e-09,0.6238623063411961,667.1783575517356,3.0,0.4,,,,,
test_iso,14,0.5000026193779132,0.3011586762943754,0.4999788919002216,1.2899386330030345e-06,-1.6983422286919185e-09,0.9481675148226272,584.3756879491377,3.0,0.4,,,,,
test_iso,15,0.5000005346008255,0.29413684200667367,0.4999799966359343,1.2976750624780828e-06,2.194995654585325e-09,0.2446449355942464,602.5714542497267,3.0,0.4,,,,,
test_iso,16,0.7081148616458497,0.2999433408729566,0.49999297712471097,1.7173879575208563e-06,-6.203059537215491e-10,0.9060598181066146,742.0958778484382,3.0,0.4,,,,,
test_iso,17,0.6985592584833251,0.2999560377493371,0.4999972054590008,1.8239811739489456e-06,3.859125330102428e-09,0.2596545582118142,857.2899464719358,3.0,0.4,,,,,
test_iso,18,0.706976674998868,0.29995162494928873,0.499996176259769,1.578906901751568e-06,-1.340013462768538e-08,0.11547756978648023,757.4656398720697,3.0,0.4,,,,,
test_iso,19,0.6964337759117296,0.2999539812937445,0.4999976828772753,1.833299918356131e-06,3.569308428963536e-09,0.2792434497022054,811.0536179381277,3.0,0.4,,,,,
test_iso,20,0.5983496497454392,0.29998329292774606,0.4999910915621429,1.5120402007119617e-06,-1.3057230019154285e-08,0.6758344694190282,727.1486962369736,3.0,0.4,,,,,
