组数,beta_l,beta_rng,A,M,exc_l,t_max,potential_file,物质,CA potential,打磨情况,断电极？,Yesterday/Today,A_dev,gate_plateau,gate_excess,gate_A,pass_all,potential_match
6,0.49986501733884037,0.25107928993617945,-4.160426534219749e-07,-5.768702445663661e-09,3.0497299145128665,10.00063,0.0,Blank,0.0,未,X,Y,0.04540586246086306,False,False,True,False,True
7,0.7142448648656584,0.3255430614080327,9.203318234551742e-08,-3.666526805427241e-10,0.6254171647032932,10.00063,0.1,Blank,0.1,未,X,Y,0.3013417616800569,False,True,False,False,True
8,0.500298650298814,0.14838684373557764,1.5542350823378352e-07,-4.479696680406535e-10,0.6904967659007646,10.00063,0.2,Blank,0.2,未,X,Y,0.08612185737788014,False,True,False,False,True
9,0.4998423610641073,0.00035386368589040984,2.1141775531010134e-07,-5.515201884774335e-10,0.6963365806714715,10.00063,0.3,Blank,0.3,未,X,Y,0.052210564874440694,True,True,False,False,True
10,0.4995414499611057,0.09253248719358831,2.5674189187737656e-07,-2.7042953815951795e-10,0.6750025131431496,10.00063,0.4,Blank,0.4,未,X,Y,0.16112474942869487,False,True,False,False,True
11,0.18907809179058932,0.26249048007850423,-1.2791742907179188e-05,-1.7678155493959093e-08,3.8852477872682822,10.00063,0.0,Sample,0.0,未,X,Y,0.07433570451021287,False,False,False,False,True
12,0.7219212808804092,0.15763515125432703,1.405664466151725e-07,1.0498036514734115e-09,0.1962594082322027,8.47738210458113,0.1,Sample,0.1,未,X,Y,0.016261983862043975,False,True,True,False,True
13,0.24783058307527941,0.05101377958571801,1.8416831369806769e-06,8.755410889000366e-09,3.1872597249332544,10.00063,0.2,Sample,0.2,未,X,Y,0.015084000465939227,False,False,True,False,True
14,0.4420688467914437,0.022844577804754906,9.409347110583345e-07,-2.6885631443022888e-09,0.39582045323860565,10.00063,0.3,Sample,0.3,未,X,Y,0.0019813816937804905,False,True,True,False,True
15,0.24547810755708754,0.1381483086645824,3.784873005528952e-07,-5.268476922541508e-09,2.0069509369778014,10.00064,0.4,Sample,0.4,未,X,Y,0.0041181845358752335,False,True,True,False,True
16,0.18836935294662155,0.26275280191687816,-1.48462311823601e-05,-1.7328108451256332e-08,4.18988286206061,10.00063,0.0,Sample,0.0,未,X,Y,0.07433570451021287,False,False,False,False,True
17,0.7299036938806704,0.20302313570886377,1.360678245616074e-07,1.0261258118754815e-09,0.41100733765054304,8.366879989733562,0.1,Sample,0.1,未,X,Y,0.016261983862043975,False,True,True,False,True
18,0.2543729704470321,0.054303311764981904,1.786948850392419e-06,8.485816326530164e-09,2.1863919966158107,10.00063,0.2,Sample,0.2,未,X,Y,0.015084000465939227,False,True,True,False,True
19,0.4431022713692899,0.03398573159640739,9.372133828069411e-07,-2.6317135962340767e-09,0.5216188537065448,10.00063,0.3,Sample,0.3,未,X,Y,0.0019813816937804905,False,True,True,False,True
20,0.24136625180688767,0.12860999539700074,3.81617552604813e-07,-5.231594122631512e-09,1.7044356329910348,10.00063,0.4,Sample,0.4,未,X,Y,0.0041181845358752335,False,True,True,False,True
21,0.49993963361970906,0.2586315776026209,-3.7990209562050583e-07,-5.284086793848823e-09,2.3311988558264445,10.00063,0.0,Blank,0.0,未,X,Y,0.04540586246086306,False,True,True,False,True
22,0.5000893891358245,0.02575118646501673,1.7142376211656677e-07,1.4576533121367919e-08,0.6541320157472066,3.0,0.1,Blank,0.1,未,X,Y,0.3013417616800568,False,True,False,False,True
23,0.5003799784230893,0.19207192691685127,1.307755166325562e-07,-7.530777576022857e-10,0.48233208947428635,10.00064,0.2,Blank,0.2,未,X,Y,0.08612185737788033,False,True,False,False,True
24,0.4999227571284591,0.0015274226131132274,1.90436706843735e-07,-1.4616648875842548e-10,1.4282870880277125,10.00063,0.3,Blank,0.3,未,X,Y,0.052210564874440694,True,True,False,False,True
25,0.49971452200330807,0.0005184557430357173,1.8548775141237433e-07,-1.1359607786802909e-09,0.9055619308923624,10.00063,0.4,Blank,0.4,未,X,Y,0.16112474942869487,True,True,False,False,True
26,0.4999253929978088,0.43614120462222017,-6.313126923591595e-07,-3.449708506872956e-09,0.8847486969664153,10.00063,0.0,Blank,0.0,有,X,Y,0.4812388511384038,False,True,False,False,True
27,0.5001234317635128,0.02920171572706315,1.1547524346999182e-07,1.2047168954919593e-08,2.075144474873224,3.0,0.1,Blank,0.1,有,X,Y,0.0411282195758839,False,True,True,False,True
28,0.5001019210904003,0.005103833982950001,1.558749366858809e-07,9.599257545063516e-09,1.8803554803754179,3.4153855136654023,0.2,Blank,0.2,有,X,Y,0.07154589033840125,True,True,False,False,True
29,0.49997232976650663,0.002369249036111798,1.6623610763057722e-07,8.201053990877246e-11,1.0063753029696816,10.00063,0.3,Blank,0.3,有,X,Y,0.04548290042954057,True,True,True,True,True
30,0.47996725788357497,0.1665197658146435,2.0043124253493302e-07,-1.7158532089468306e-09,0.7151857500774065,10.00063,0.4,Blank,0.4,有,X,Y,12.788913582287831,False,True,False,False,True
31,0.5000079649698037,0.29461879219829834,-2.2109904646873466e-07,-2.950126056598486e-09,0.7228761081844366,10.00063,0.0,Blank,0.0,有,X,Y,0.4812388511384037,False,True,False,False,True
32,0.5001023983746524,0.02663131064834484,1.2538124188598823e-07,1.2676572250229366e-08,0.6795657094168229,3.0,0.1,Blank,0.1,有,X,Y,0.0411282195758839,False,True,True,False,True
33,0.5001178225961054,0.005562211663957206,1.798981188993734e-07,1.3678912263493796e-08,0.41822898620138677,3.0,0.2,Blank,0.2,有,X,Y,0.07154589033840125,True,True,False,False,True
34,0.5001750388531485,0.0026731851499003367,1.8207846463928537e-07,7.265686084087561e-10,1.3804097256164938,10.00063,0.3,Blank,0.3,有,X,Y,0.045482900429540424,True,True,True,True,True
35,0.4995592909010837,0.0007272590002056489,1.9612123086306593e-07,-1.6546456326398018e-09,0.9279572545675965,10.00063,0.4,Blank,0.4,有,X,Y,12.492401033992527,True,True,False,False,True
51,0.12882278535862413,0.4897107444489091,-1.988006283238138e-05,-1.5613603985491943e-08,6.347271052759602,10.00063,0.0,Sample,0.0,有,X,Y,0.006055507137452311,False,False,True,False,True
52,0.6163858395618331,0.19202517134355745,1.5945410754517104e-07,1.5081653648043469e-09,0.2443455469382656,8.296658286181113,0.1,Sample,0.1,有,X,Y,0.022225465821869152,False,True,True,False,True
53,0.24804014720143366,0.054864622683002434,1.7822047056588884e-06,8.619026434405578e-09,4.9805531724769585,10.00063,0.2,Sample,0.2,有,X,Y,0.014656493231900184,False,False,True,False,True
54,0.4891666645629492,0.03225757826804321,8.72630069090968e-07,-4.0422238278537745e-09,0.5969987504886115,10.00063,0.3,Sample,0.3,有,X,Y,0.007834475611334548,False,True,True,False,True
55,0.49999264981247293,0.013234021991982092,2.329117708464538e-07,-1.5150900344268146e-08,0.0028145861679712697,3.3441481804051882,0.4,Sample,0.4,有,X,Y,13.943315926497663,True,True,False,False,True
56,0.12557527096665072,0.48968778117250783,-2.012229741034616e-05,-1.5769596188118863e-08,1.8211968294649188,10.00063,0.0,Sample,0.0,有,X,Y,0.00605550713745248,False,True,True,False,True
57,0.6354263877421165,0.11515442209713067,1.5252033033868652e-07,1.1752336039787782e-09,0.2207163626033758,9.009321829863648,0.1,Sample,0.1,有,X,Y,0.022225465821869152,False,True,True,False,True
58,0.25605044847235686,0.05181304781928614,1.7307175838978093e-06,8.388439793743656e-09,1.1646404417210443,10.00063,0.2,Sample,0.2,有,X,Y,0.014656493231900184,False,True,True,False,True
59,0.49998210617198274,0.02688896345080305,8.864112352894666e-07,-3.524979368527947e-09,0.3761189566969217,10.00063,0.3,Sample,0.3,有,X,Y,0.007834475611334548,False,True,True,False,True
60,0.49999183114130663,0.000313597494364104,2.579635518332496e-07,-1.2471023472877355e-08,0.18118806042195348,3.843969103008606,0.4,Sample,0.4,有,X,Y,15.550605572901622,True,True,False,False,True
76,0.6534241369197833,0.020443882079865583,5.743172798197511e-07,-2.597736797179897e-10,0.032984983659777464,10.00063,0.4,Blank,0.4,有,X,T,38.51086287792151,False,True,False,False,True
77,0.07853627989140838,0.061220480248317104,1.0172475138031098e-07,-2.4312066964026206e-09,0.1002563514855823,10.00063,0.4,Blank,0.4,有,X,T,5.998279251391419,False,True,False,False,True
78,0.5000423832781548,0.008545234421007797,9.837405232399395e-09,1.2428934854148908e-10,0.4459187067577712,3.0,0.4,Blank,0.4,有,X,T,0.32322362068947624,True,True,False,False,True
79,0.49911839719961326,0.017621385240538134,1.0955855106400504e-08,2.2783984213367023e-09,0.01587878316617109,3.0,0.4,Blank,0.4,有,X,T,0.2462784874673735,True,True,False,False,True
80,0.5012925636154735,0.09322633690505688,1.4860165353120335e-08,3.611236570306895e-09,0.542066541652157,3.0,0.4,Blank,0.4,有,X,T,0.022323332835554356,False,True,True,False,True
81,0.7077959030892191,0.009908793687584683,5.577939048210305e-07,5.460673924944783e-10,0.08407871559401607,10.00063,0.4,Blank,0.4,有,X,T,37.37411699407866,True,True,False,False,True
82,0.5002893944856376,0.05936966497906848,1.4087483021999126e-08,-2.0585996171656064e-09,0.3309372052762057,3.0,0.4,Blank,0.4,有,X,T,0.030834297460202095,False,True,True,False,True
83,0.5002798487799649,0.07018672728525821,1.4258814660448477e-08,2.3340170308038136e-09,0.4568323996698235,3.0,0.4,Blank,0.4,有,X,T,0.019047326893085338,False,True,True,False,True
84,0.4998591874888755,0.020755795178499625,1.2235146340022891e-08,2.36635116572557e-09,0.4445916246029939,3.0,0.4,Blank,0.4,有,X,T,0.15826807529860687,False,True,False,False,True
85,0.5008287534609202,0.0884797503794097,1.3907574137263743e-08,3.6593376927847124e-09,0.2703074915200132,3.0,0.4,Blank,0.4,有,X,T,0.043211350223668364,False,True,True,False,True
86,0.7832256180203665,0.04731617320184667,5.304894743285087e-07,-2.7517448372004255e-10,0.027480953870195092,10.00063,0.4,Blank,0.4,有,X,T,35.49567515181273,False,True,False,False,True
87,0.5002832378616806,0.05625721302249953,1.4303395135234176e-08,-1.667102599096029e-09,0.14264416759795104,3.0,0.4,Blank,0.4,有,X,T,0.015980358358126414,False,True,True,False,True
88,0.5003767002496927,0.06982722103097705,1.5115896867107705e-08,2.537283961060038e-09,0.2523945201249389,3.0,0.4,Blank,0.4,有,X,T,0.039916696534953146,False,True,True,False,True
89,0.5008540000790267,0.08313138671904385,1.476472226029215e-08,3.316780276901528e-09,0.2245762692151736,3.0,0.4,Blank,0.4,有,X,T,0.015757208001973402,False,True,True,False,True
90,0.4987358538140442,0.01392468320434248,7.781544044389324e-09,1.908163529068506e-09,0.0801435372056593,3.0,0.4,Blank,0.4,有,X,T,0.4646591169729945,True,True,False,False,True
91,0.8068706305742284,0.06645110542470378,5.253931966470234e-07,-4.063093910800029e-10,0.008712564944027931,9.516268976532904,0.4,Blank,0.4,有,X,T,35.14507046737042,False,True,False,False,True
92,0.50048710221237,0.062478726044536304,1.737621424907879e-08,-8.092539955521924e-10,0.21031813137108546,3.0,0.4,Blank,0.4,有,X,T,0.1954180078792175,False,True,False,False,True
93,0.499972754053559,0.010674652872651569,9.306836042363737e-09,2.547821034212253e-10,0.22918227401798352,3.0,0.4,Blank,0.4,有,X,T,0.359724779981302,True,True,False,False,True
94,0.4983508585042621,0.012896067997725413,8.124514640968887e-09,1.4167010180751572e-09,0.07291851982057675,3.0,0.4,Blank,0.4,有,X,T,0.44106403340373984,True,True,False,False,True
95,0.501297629627045,0.2504474639123492,1.4306638777518896e-08,3.3175132834595776e-09,0.5174689306618141,3.0,0.4,Blank,0.4,有,X,T,0.015757208001973402,False,True,True,False,True
96,0.7208884257305086,0.13545613466668238,8.508326147105316e-07,5.047872857147504e-09,3.1133425912774246,10.00063,0.4,Sample,0.4,有,X,T,53.58831263006181,False,False,False,False,True
97,0.49998376758936464,0.0025222538415016205,1.9831522852237027e-08,-2.9606679756545683e-09,0.3288777197739906,3.0,0.4,Sample,0.4,有,X,T,0.27236468216070825,True,True,False,False,True
98,0.49998327578173457,0.0032476379676306677,1.682333073207039e-08,1.2702328886005815e-09,0.4259054644022617,3.0,0.4,Sample,0.4,有,X,T,0.0793629929120977,True,True,False,False,True
99,0.4999848983709998,0.002452017260944128,1.0763701142683617e-08,1.0969282153448655e-09,0.26373044003910345,3.0,0.4,Sample,0.4,有,X,T,0.30941495086754595,True,True,False,False,True
100,0.49998482163220254,0.003254757356267013,1.027200687553862e-08,1.717269859148408e-09,0.4354256068141632,3.0,0.4,Sample,0.4,有,X,T,0.3409614147774325,True,True,False,False,True
101,0.7425483273726377,0.14859149821301665,8.384050583281642e-07,5.0812928406985335e-09,6.114838146181626,10.00063,0.4,Sample,0.4,有,X,T,52.79097679537569,False,False,False,False,True
102,0.4999868967269442,0.0014693489080799815,1.4759949287379957e-08,-4.104012913127079e-09,0.197054621252764,3.0,0.4,Sample,0.4,有,X,T,0.05302087370325405,True,True,False,False,True
103,0.5000486054820836,0.0035249345049850334,1.5680254704079462e-08,1.0313805901822396e-09,1.2617119950180147,3.0,0.4,Sample,0.4,有,X,T,0.006024723436935183,True,True,True,True,True
104,0.5000365588956087,0.0026378171389398464,9.7632762246813e-09,9.124838754358317e-10,1.24491965623095,3.0,0.4,Sample,0.4,有,X,T,0.3736009108820127,True,True,False,False,True
105,0.5000223679328615,0.0036159686296750593,1.0989522048095577e-08,1.8329709887104517e-09,4.548471778483697,3.0,0.4,Sample,0.4,有,X,T,0.2949265756338043,True,False,False,False,True
106,0.7502772642026234,0.153291995338797,8.376454017537178e-07,5.351449386086903e-09,4.105067120832218,10.00063,0.4,Sample,0.4,有,X,T,52.74223821876217,False,False,False,False,True
107,0.4999906779086899,0.0018890996098017698,1.648837525543739e-08,-3.56690148280962e-09,0.4390803738653632,3.0,0.4,Sample,0.4,有,X,T,0.05787268570071463,True,True,False,False,True
108,0.49999862882741936,0.001967161043327781,1.183712480381488e-08,-1.9307261417972242e-11,1.2939697140846,3.0,0.4,Sample,0.4,有,X,T,0.24054548655079025,True,True,False,False,True
109,0.5000449590180818,0.00295491692024763,1.2080529390839014e-08,1.4575102286149384e-09,1.579538105482849,3.0,0.4,Sample,0.4,有,X,T,0.22492896520177613,True,True,False,False,True
110,0.499990282813612,0.00473899110274828,1.549244779275418e-08,3.0302017771495123e-09,0.8398265174141593,3.0,0.4,Sample,0.4,有,X,T,0.006024723436935183,True,True,True,True,True
111,0.7552179880025852,0.15317092774920682,8.310430976993894e-07,5.2980335847110425e-09,4.499066899213588,10.00064,0.4,Sample,0.4,有,X,T,52.318642987966946,False,False,False,False,True
112,0.5000186254041084,0.002078483157101352,1.6279155182781825e-08,-3.529777701623626e-09,1.0216138439549234,3.0,0.4,Sample,0.4,有,X,T,0.04444939827949631,True,True,True,True,True
113,0.49998868010113684,0.002305024922508725,1.1859453357328501e-08,1.1121896333431653e-10,0.4306662143693359,3.0,0.4,Sample,0.4,有,X,T,0.23911291563295664,True,True,False,False,True
114,0.5000079668434194,0.003595751388250523,1.3979431120849642e-08,1.9569528215153784e-09,1.073944143265631,3.0,0.4,Sample,0.4,有,X,T,0.10309790289952571,True,True,False,False,True
115,0.4999999740859231,0.001856366683138655,8.398656182026352e-09,1.074814802090585e-09,0.1586581853635142,3.0,0.4,Sample,0.4,有,X,T,0.4611531558497732,True,True,False,False,True
